City,Country,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind_Speed
Bangkok,Thailand,2019-04-25,145.99,53.12,90.86,22.88,20.63,42.87,29.27,10.3,65.0,5.3
Mexico City,Mexico,2019-07-18,189.57,88.63,152.78,22.43,19.15,60.82,48.39,19.2,46.4,8.7
Cairo,Egypt,2024-05-23,125.34,57.52,107.66,14.76,17.22,31.12,23.56,12.0,65.2,4.4
Shanghai,China,2015-02-19,247.53,93.99,171.95,45.34,42.73,58.79,56.0,23.8,67.4,4.3
Tokyo,Japan,2025-10-16,41.82,20.31,17.83,5.66,5.12,12.72,1.39,19.7,50.4,10.1
Dubai,UAE,2016-08-25,124.85,50.18,107.15,13.57,25.68,47.89,8.11,31.7,56.3,10.1
Bangkok,Thailand,2020-08-20,110.22,23.18,34.34,22.96,10.76,32.92,19.94,39.0,57.3,10.2
London,UK,2016-05-19,56.65,30.99,59.35,21.27,6.68,21.29,5.73,8.8,64.9,8.8
London,UK,2019-02-28,134.99,37.83,87.32,16.84,26.47,29.2,28.8,11.2,61.4,4.3
Tehran,Iran,2021-09-16,55.92,30.58,69.67,3.51,4.39,14.62,9.77,15.1,95.0,5.3
Toronto,Canada,2020-03-05,50.67,24.64,70.27,9.58,0.31,10.39,7.06,10.4,66.7,10.4
Tehran,Iran,2016-01-28,177.63,68.52,146.91,30.56,23.37,47.47,42.63,2.3,69.4,4.1
Buenos Aires,Argentina,2020-09-17,101.72,50.37,80.93,22.15,7.32,26.94,14.04,31.1,87.5,7.4
Singapore,Singapore,2016-07-28,68.11,19.59,25.39,10.44,3.52,11.72,0.84,11.9,85.5,8.9
Mexico City,Mexico,2020-07-02,209.48,86.72,173.87,26.49,24.42,52.96,42.23,21.3,35.1,6.7
Mumbai,India,2023-10-05,43.33,5.79,0.0,18.49,7.74,11.75,0.0,16.1,72.2,7.0
Mexico City,Mexico,2022-02-03,183.29,83.45,152.72,28.01,18.52,40.73,37.99,5.5,67.9,6.8
